Key;Item Type;Publication Year;Author;Title;Publication Title;ISBN;ISSN;DOI;Url;Abstract Note;Date;Date Added;Date Modified;Access Date;Pages;Num Pages;Issue;Volume;Number Of Volumes;Journal Abbreviation;Short Title;Series;Series Number;Series Text;Series Title;Publisher;Place;Language;Rights;Type;Archive;Archive Location;Library Catalog;Call Number;Extra;Notes;File Attachments;Link Attachments;Manual Tags;Automatic Tags;Editor;Series Editor;Translator;Contributor;Attorney Agent;Book Author;Cast Member;Commenter;Composer;Cosponsor;Counsel;Interviewer;Producer;Recipient;Reviewed Author;Scriptwriter;Words By;Guest;Number;Edition;Running Time;Scale;Medium;Artwork Size;Filing Date;Application Number;Assignee;Issuing Authority;Country;Meeting Name;Conference Name;Court;References;Reporter;Legal Status;Priority Numbers;Programming Language;Version;System;Code;Code Number;Section;Session;Committee;History;Legislative Body;"Key,""Item Type"",""Publication Year"",""Author"",""Title"",""Publication Title"",""ISBN"",""ISSN"",""DOI"",""Url"",""Abstract Note"",""Date"",""Date Added"",""Date Modified"",""Access Date"",""Pages"",""Num Pages"",""Issue"",""Volume"",""Number Of Volumes"",""Journal Abbreviation"",""Short Title"",""Series"",""Series Number"",""Series Text"",""Series Title"",""Publisher"",""Place"",""Language"",""Rights"",""Type"",""Archive"",""Archive Location"",""Library Catalog"",""Call Number"",""Extra"",""Notes"",""File Attachments"",""Link Attachments"",""Manual Tags"",""Automatic Tags"",""Editor"",""Series Editor"",""Translator"",""Contributor"",""Attorney Agent"",""Book Author"",""Cast Member"",""Commenter"",""Composer"",""Cosponsor"",""Counsel"",""Interviewer"",""Producer"",""Recipient"",""Reviewed Author"",""Scriptwriter"",""Words By"",""Guest"",""Number"",""Edition"",""Running Time"",""Scale"",""Medium"",""Artwork Size"",""Filing Date"",""Application Number"",""Assignee"",""Issuing Authority"",""Country"",""Meeting Name"",""Conference Name"",""Court"",""References"",""Reporter"",""Legal Status"",""Priority Numbers"",""Programming Language"",""Version"",""System"",""Code"",""Code Number"",""Section"",""Session"",""Committee"",""History"",""Legislative Body""";;;;;;;;;;;;
IB6LBVN3;journalArticle;2015;"Crossley, Nick; Bottero, Wendy";Social Spaces of Music: Introduction;Cultural Sociology;;1749-9755, 1749-9763;10.1177/1749975514546236;http://journals.sagepub.com/doi/10.1177/1749975514546236;This paper introduces a special issue of Cultural Sociology focused upon ‘music worlds’, ‘music scenes’, ‘music fields’ and musically focused ‘networks’ – the expression in the title, ‘social spaces of music’, is intended as a neutral means of capturing the (shared) focus of these different concepts. The paper begins with a brief discussion of the various ways in which such spaces have been conceptualized through the history of sociology, affording specific attention to the concept of subculture, before introducing the four key concepts referred to above. Discussion then turns to a number of key ideas and themes which these conceptions share, before introducing the other papers in the special issue.;2015-03;15/02/2024 19:33;09/09/2024 19:17;15/02/2024 19:33;mar-19;;1;9;;Cultural Sociology;Social Spaces of Music;;;;;;;en;;;;;DOI.org (Crossref);;;;C:\Users\sebastian\Desktop\PRODUCCION\00. ACCIÓN PROXIMA\00. MU\10. Fondecyt Iniciación\_Textos\Crossley-2015.pdf;;;✅;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"IB6LBVN3,""journalArticle"",""2015"",""Crossley, Nick";" Bottero, Wendy"",""Social Spaces of Music: Introduction"",""Cultural Sociology"","""",""1749-9755, 1749-9763"",""10.1177/1749975514546236"",""http://journals.sagepub.com/doi/10.1177/1749975514546236"",""This paper introduces a special issue of Cultural Sociology focused upon ‘music worlds’, ‘music scenes’, ‘music fields’ and musically focused ‘networks’ – the expression in the title, ‘social spaces of music’, is intended as a neutral means of capturing the (shared) focus of these different concepts. The paper begins with a brief discussion of the various ways in which such spaces have been conceptualized through the history of sociology, affording specific attention to the concept of subculture, before introducing the four key concepts referred to above. Discussion then turns to a number of key ideas and themes which these conceptions share, before introducing the other papers in the special issue."",""2015-03"",""2024-02-15 19:33:02"",""2024-09-09 19:17:40"",""2024-02-15 19:33:02"",""3-19"","""",""1"",""9"","""",""Cultural Sociology"",""Social Spaces of Music"","""","""","""","""","""","""",""en"","""","""","""","""",""DOI.org (Crossref)"","""","""","""",""C:\Users\sebastian\Desktop\PRODUCCION\00. ACCIÓN PROXIMA\00. MU\10. Fondecyt Iniciación\_Textos\Crossley-2015.pdf"","""","""",""✅"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;
LERMT6I3;journalArticle;2015;"Crossley, Nick; Bottero, Wendy";Music Worlds and Internal Goods: The Role of Convention;Cultural Sociology;;1749-9755, 1749-9763;10.1177/1749975514533209;http://journals.sagepub.com/doi/10.1177/1749975514533209;What is the basis of the value and pleasure that participants derive from participation in music worlds? Participants often have a great passion for those worlds and for the artists, works, identities and conventions which constitute and populate them. Sociology, however, is not very good at explaining or exploring such passion and commitment. To do this in relation to music requires that we take the pleasures and satisfactions of ‘musicking’ (i.e. all activities pertaining to music) seriously. This paper calls for an interrogation of the mechanisms and dynamics of music’s intrinsic pleasures. We argue that it is necessary to explore the mechanisms involved in the intrinsic pleasures of musicking, and that to do so means analysing the ‘internal goods’ of music worlds and the role that conventions play in the production of pleasure and commitment.;2015-03;15/02/2024 19:33;15/02/2024 19:33;15/02/2024 19:33;38-55;;1;9;;Cultural Sociology;Music Worlds and Internal Goods;;;;;;;en;;;;;DOI.org (Crossref);;;;C:\Users\sebastian\Desktop\PRODUCCION\00. ACCIÓN PROXIMA\00. MU\10. Fondecyt Iniciación\_Textos\Crossley-2015a.pdf;;;🔴;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"LERMT6I3,""journalArticle"",""2015"",""Crossley, Nick";" Bottero, Wendy"",""Music Worlds and Internal Goods: The Role of Convention"",""Cultural Sociology"","""",""1749-9755, 1749-9763"",""10.1177/1749975514533209"",""http://journals.sagepub.com/doi/10.1177/1749975514533209"",""What is the basis of the value and pleasure that participants derive from participation in music worlds? Participants often have a great passion for those worlds and for the artists, works, identities and conventions which constitute and populate them. Sociology, however, is not very good at explaining or exploring such passion and commitment. To do this in relation to music requires that we take the pleasures and satisfactions of ‘musicking’ (i.e. all activities pertaining to music) seriously. This paper calls for an interrogation of the mechanisms and dynamics of music’s intrinsic pleasures. We argue that it is necessary to explore the mechanisms involved in the intrinsic pleasures of musicking, and that to do so means analysing the ‘internal goods’ of music worlds and the role that conventions play in the production of pleasure and commitment."",""2015-03"",""2024-02-15 19:33:06"",""2024-02-15 19:33:08"",""2024-02-15 19:33:06"",""38-55"","""",""1"",""9"","""",""Cultural Sociology"",""Music Worlds and Internal Goods"","""","""","""","""","""","""",""en"","""","""","""","""",""DOI.org (Crossref)"","""","""","""",""C:\Users\sebastian\Desktop\PRODUCCION\00. ACCIÓN PROXIMA\00. MU\10. Fondecyt Iniciación\_Textos\Crossley-2015a.pdf"","""","""",""🔴"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;
VPH2E39H;book;2015;Crossley, Nick;Networks of sound, style and subversion;;978-1-84779-993-7;;;http://www.manchesterhive.com/view/9781847799937/9781847799937.xml;;01/03/2015;15/02/2024 19:33;09/09/2024 19:31;15/02/2024 19:33;;;;;;;;;;;;Manchester University Press;;en;;;;;DOI.org (Crossref);;DOI: 10.7765/9781847799937;;C:\Users\sebastian\Desktop\PRODUCCION\00. ACCIÓN PROXIMA\00. MU\10. Fondecyt Iniciación\_Textos\Crossley-2015b.pdf;;;✅;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"VPH2E39H,""book"",""2015"",""Crossley, Nick"",""Networks of sound, style and subversion"","""",""978-1-84779-993-7"","""","""",""http://www.manchesterhive.com/view/9781847799937/9781847799937.xml"","""",""2015-03-01"",""2024-02-15 19:33:10"",""2024-09-09 19:31:06"",""2024-02-15 19:33:10"","""","""","""","""","""","""","""","""","""","""","""",""Manchester University Press"","""",""en"","""","""","""","""",""DOI.org (Crossref)"","""",""DOI: 10.7765/9781847799937"","""",""C:\Users\sebastian\Desktop\PRODUCCION\00. ACCIÓN PROXIMA\00. MU\10. Fondecyt Iniciación\_Textos\Crossley-2015b.pdf"","""","""",""✅"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;
DS8QZCZF;book;2015;"Crossley, Nick; McAndrew, Siobhan; Widdop, Paul";Social Networks and Music Worlds;;;;;;;2015;15/02/2024 19:33;09/09/2024 19:24;;;;;;;;;;;;;Routledge;London;en;;;;;Zotero;;;;C:\Users\sebastian\Desktop\PRODUCCION\00. ACCIÓN PROXIMA\00. MU\10. Fondecyt Iniciación\_Textos\Crossley-2015d.pdf;;;✅;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"DS8QZCZF,""book"",""2015"",""Crossley, Nick"; McAndrew, Siobhan;" Widdop, Paul"",""Social Networks and Music Worlds"","""","""","""","""","""","""",""2015"",""2024-02-15 19:33:13"",""2024-09-09 19:24:55"","""","""","""","""","""","""","""","""","""","""","""","""",""Routledge"",""London"",""en"","""","""","""","""",""Zotero"","""","""","""",""C:\Users\sebastian\Desktop\PRODUCCION\00. ACCIÓN PROXIMA\00. MU\10. Fondecyt Iniciación\_Textos\Crossley-2015d.pdf"","""","""",""✅"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;
JAB53LTG;book;2020;Crossley, Nick;Connecting sounds: The social life of music;;;;;;;2020;15/02/2024 19:33;09/09/2024 19:21;;;;;;;;;;;;;Manchester University Press;Manchester;en;;;;;Zotero;;;;C:\Users\sebastian\Desktop\PRODUCCION\00. ACCIÓN PROXIMA\00. MU\10. Fondecyt Iniciación\_Textos\Crossley-2020.pdf;;;✅;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"JAB53LTG,""book"",""2020"",""Crossley, Nick"",""Connecting sounds: The social life of music"","""","""","""","""","""","""",""2020"",""2024-02-15 19:33:15"",""2024-09-09 19:21:20"","""","""","""","""","""","""","""","""","""","""","""","""",""Manchester University Press"",""Manchester"",""en"","""","""","""","""",""Zotero"","""","""","""",""C:\Users\sebastian\Desktop\PRODUCCION\00. ACCIÓN PROXIMA\00. MU\10. Fondecyt Iniciación\_Textos\Crossley-2020.pdf"","""","""",""✅"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;
7TRU96FD;conferencePaper;2024;"Wang, Manlin; Jiang, Ting";A Social Network Analysis of Musician Co-creation on Digital Platform;2024 International Conference on Culture-Oriented Science & Technology (CoST);;;10.1109/CoST64302.2024.00094;https://ieeexplore.ieee.org/document/10675786;Music creation involves collaborative efforts from various individuals, including composers, lyricists, singers, producers, distributors, and others. The rise of digital platforms has enabled musicians to collaborate more efficiently across disciplines, facilitating the co-creation and release of musical works. This collaboration mode has influenced the evolution of musical genres and promoted diverse musical culture through innovation and integration. This paper uses social network analysis to select a relatively popular digital platform for the young Chinese generation, Bilibili and ACG music, as the research object. The study analysed the cooperation network of 136 ACG music content creators (Up zhu) in 27 music works to reveal how musicians collaborate to co-create, release and distribute their music works through the platform. The network shows a high clustering coefficient, indicating the formation of close-knit groups among music content creators. The analysis identified 14 cohesive groups and 10 key bridge-builders, facilitating isolated groups’ connection. This co-creation has a profound impact on the relationships between creators, diversifies the styles of music that are produced, and fosters the growth of culturally diverse subcultures. The role of key bridge-builders is to enhance the network’s influence and support marginal creators, thereby promoting the creation of diverse musical works and cultural communities.;2024-08;05/03/2025 22:46;19/03/2025 15:43;05/03/2025 22:46;451-455;;;;;;;;;;;;;;;;;;IEEE Xplore;;;;C:\Users\sebastian\Zotero\storage\KDU3A37J\10675786.html;;;"✅; Music; ACG music; Automatic generation control; Bilibili; Collaboration; Costs; Federated learning; music content creator; social network analysis; Social networking (online); Technological innovation";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2024 International Conference on Culture-Oriented Science & Technology (CoST);;;;;;;;;;;;;;;;"7TRU96FD,""conferencePaper"",""2024"",""Wang, Manlin";" Jiang, Ting"",""A Social Network Analysis of Musician Co-creation on Digital Platform"",""2024 International Conference on Culture-Oriented Science & Technology (CoST)"","""","""",""10.1109/CoST64302.2024.00094"",""https://ieeexplore.ieee.org/document/10675786"",""Music creation involves collaborative efforts from various individuals, including composers, lyricists, singers, producers, distributors, and others. The rise of digital platforms has enabled musicians to collaborate more efficiently across disciplines, facilitating the co-creation and release of musical works. This collaboration mode has influenced the evolution of musical genres and promoted diverse musical culture through innovation and integration. This paper uses social network analysis to select a relatively popular digital platform for the young Chinese generation, Bilibili and ACG music, as the research object. The study analysed the cooperation network of 136 ACG music content creators (Up zhu) in 27 music works to reveal how musicians collaborate to co-create, release and distribute their music works through the platform. The network shows a high clustering coefficient, indicating the formation of close-knit groups among music content creators. The analysis identified 14 cohesive groups and 10 key bridge-builders, facilitating isolated groups’ connection. This co-creation has a profound impact on the relationships between creators, diversifies the styles of music that are produced, and fosters the growth of culturally diverse subcultures. The role of key bridge-builders is to enhance the network’s influence and support marginal creators, thereby promoting the creation of diverse musical works and cultural communities."",""2024-08"",""2025-03-05 22:46:36"",""2025-03-19 15:43:56"",""2025-03-05 22:46:36"",""451-455"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""IEEE Xplore"","""","""","""",""C:\Users\sebastian\Zotero\storage\KDU3A37J\10675786.html"","""","""",""✅"; Music; ACG music; Automatic generation control; Bilibili; Collaboration; Costs; Federated learning; music content creator; social network analysis; Social networking (online);" Technological innovation"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2024 International Conference on Culture-Oriented Science & Technology (CoST)"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
6JCA2R2E;journalArticle;2024;"Grubesic, Tony H.; Helderop, Edward; Kaur, Bhajleen";A deep dive into the collaborative networks of Yacht Rock;Poetics;;0304-422X;10.1016/j.poetic.2024.101872;https://www.sciencedirect.com/science/article/pii/S0304422X24000111;"This paper explores the collaborative networks of Yacht Rock, a genre of music that emerged in the late 1970s and early 1980s and is currently experiencing a resurgence of popularity in the United States and beyond. In addition to using formal social network analysis to explore the development and transformation of Yacht Rock's collaborative musical network through time, we identify its most influential artists and musicians and highlight the most pivotal songs of the era – adding context with historical and archival approaches. The results indicate that a core group of studio musicians based in Los Angeles played an essential role in helping develop Yacht Rock. This reservoir of musical talent and the supporting ""hard"" infrastructure (e.g., recording studios, music labels) in Los Angeles helped bring Yacht Rock to the masses. However, much of this movement's success has roots in the ""soft"" infrastructure of the region (e.g., management, industry connections) and the network effects of bands like Toto and Steely Dan.";01/02/2024;24/03/2025 18:50;24/03/2025 18:51;24/03/2025 18:50;101872;;;102;;Poetics;;;;;;;;;;;;;ScienceDirect;;;;C:\Users\sebastian\Desktop\PRODUCCION\00. ACCIÓN PROXIMA\00. MU\10. Fondecyt Iniciación\_Textos\Grubesic-2024.pdf;;;"✅; Collaboration; Network analysis; Smooth music; Steely Dan; Toto; Yacht Rock";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6JCA2R2E,""journalArticle"",""2024"",""Grubesic, Tony H."; Helderop, Edward;" Kaur, Bhajleen"",""A deep dive into the collaborative networks of Yacht Rock"",""Poetics"","""",""0304-422X"",""10.1016/j.poetic.2024.101872"",""https://www.sciencedirect.com/science/article/pii/S0304422X24000111"",""This paper explores the collaborative networks of Yacht Rock, a genre of music that emerged in the late 1970s and early 1980s and is currently experiencing a resurgence of popularity in the United States and beyond. In addition to using formal social network analysis to explore the development and transformation of Yacht Rock's collaborative musical network through time, we identify its most influential artists and musicians and highlight the most pivotal songs of the era – adding context with historical and archival approaches. The results indicate that a core group of studio musicians based in Los Angeles played an essential role in helping develop Yacht Rock. This reservoir of musical talent and the supporting """"hard"""" infrastructure (e.g., recording studios, music labels) in Los Angeles helped bring Yacht Rock to the masses. However, much of this movement's success has roots in the """"soft"""" infrastructure of the region (e.g., management, industry connections) and the network effects of bands like Toto and Steely Dan."",""2024-02-01"",""2025-03-24 18:50:10"",""2025-03-24 18:51:26"",""2025-03-24 18:50:10"",""101872"","""","""",""102"","""",""Poetics"","""","""","""","""","""","""","""","""","""","""","""","""",""ScienceDirect"","""","""","""",""C:\Users\sebastian\Desktop\PRODUCCION\00. ACCIÓN PROXIMA\00. MU\10. Fondecyt Iniciación\_Textos\Grubesic-2024.pdf"","""","""",""✅"; Collaboration; Network analysis; Smooth music; Steely Dan; Toto;" Yacht Rock"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;
SIAUYKVA;journalArticle;2023;"Silva, Mariana O.; Oliveira, Gabriel P.; Seufitelli, Danilo B.; Moro, Mirella M.";Temporal Success Analyses in Music Collaboration Networks: Brazilian and Global Scenarios;Revista Vórtex;;2317-9937;10.33871/23179937.2023.11.2.7185;https://periodicos.unespar.edu.br/vortex/article/view/7185;"Collaboration is a part of the music industry and has increased over recent decades; but little do we know about its effects on success and evolution. Our goal is to analyze how success has evolved over collaboration networks and compare its global scenario to a local, thriving one: the Brazilian music industry. Specifically, we build collaboration networks from data collected from Spotify's Global and Brazilian daily charts, analyze them and identify collaboration profiles in such networks. Analyses over their topological characteristics reveal collaboration patterns mapped into four different profiles: Standard, Niche, Ephemeral and Absent, where the two first have a higher level of success. Furthermore, we do deeper by evaluating the temporal evolution of such profiles through case studies: pop and k-pop globally, and pop and forró in Brazil. Overall, our findings emphasize the importance of collaboration profiles in assessing success, and show differences between the global and Brazilian scenarios.";03/08/2023;24/03/2025 18:50;24/03/2025 18:51;24/03/2025 18:50;ene-27;;2;11;;;Temporal Success Analyses in Music Collaboration Networks;;;;;;;en;Copyright (c) 2023;;;;periodicos.unespar.edu.br;;Number: 2;;C:\Users\sebastian\Desktop\PRODUCCION\00. ACCIÓN PROXIMA\00. MU\10. Fondecyt Iniciación\_Textos\Silva-2023.pdf;;;"✅; Análise de Redes Sociais; Perfis de Colaboração; Sucesso musical";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"SIAUYKVA,""journalArticle"",""2023"",""Silva, Mariana O."; Oliveira, Gabriel P.; Seufitelli, Danilo B.;" Moro, Mirella M."",""Temporal Success Analyses in Music Collaboration Networks: Brazilian and Global Scenarios"",""Revista Vórtex"","""",""2317-9937"",""10.33871/23179937.2023.11.2.7185"",""https://periodicos.unespar.edu.br/vortex/article/view/7185"",""Collaboration is a part of the music industry and has increased over recent decades";" but little do we know about its effects on success and evolution. Our goal is to analyze how success has evolved over collaboration networks and compare its global scenario to a local, thriving one: the Brazilian music industry. Specifically, we build collaboration networks from data collected from Spotify's Global and Brazilian daily charts, analyze them and identify collaboration profiles in such networks. Analyses over their topological characteristics reveal collaboration patterns mapped into four different profiles: Standard, Niche, Ephemeral and Absent, where the two first have a higher level of success. Furthermore, we do deeper by evaluating the temporal evolution of such profiles through case studies: pop and k-pop globally, and pop and forró in Brazil. Overall, our findings emphasize the importance of collaboration profiles in assessing success, and show differences between the global and Brazilian scenarios."",""2023-08-03"",""2025-03-24 18:50:50"",""2025-03-24 18:51:17"",""2025-03-24 18:50:50"",""1-27"","""",""2"",""11"","""","""",""Temporal Success Analyses in Music Collaboration Networks"","""","""","""","""","""","""",""en"",""Copyright (c) 2023"","""","""","""",""periodicos.unespar.edu.br"","""",""Number: 2"","""",""C:\Users\sebastian\Desktop\PRODUCCION\00. ACCIÓN PROXIMA\00. MU\10. Fondecyt Iniciación\_Textos\Silva-2023.pdf"","""","""",""✅"; Análise de Redes Sociais; Perfis de Colaboração;" Sucesso musical"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;
K4JRN3VL;conferencePaper;2017;"Araújo, Carlos V.S.; Neto, Rayol M.; Nakamura, Fabiola G.; Nakamura, Eduardo F.";Using Complex Networks to Assess Collaboration in Rap Music: A Study Case of DJ Khaled;Proceedings of the 23rd Brazillian Symposium on Multimedia and the Web;978-1-4503-5096-9;;10.1145/3126858.3131605;https://doi.org/10.1145/3126858.3131605;"DJ Khaled is a popular musician that is known for having many collaborators in his songs. Hence, in this paper, we model the evolution of DJ Khaled's collaboration network as nine different networks that incrementally consider the albums of his discography. The network of each album includes the collaborations from previous ones and adds the collaborations from the new album. The artists are represented as nodes and the edges are the number of songs they appear together. Our focus is to answer whether or not: (i) we can identify meaningful communities in this network; and (2) there is an artist who has greater influence as networks emerges. By using the network average clustering coefficient, we found that the artists in the the network tend to naturally cluster in a logical manner. As a result, we identified nine communities, six of them are meaningful, and we identified the rapper Rick Ross as the most influential artist of the network.";17/10/2017;24/03/2025 19:09;24/03/2025 19:09;24/03/2025;425–428;;;;;;Using Complex Networks to Assess Collaboration in Rap Music;WebMedia '17;;;;Association for Computing Machinery;New York, NY, USA;;;;;;ACM Digital Library;;;;C:\Users\sebastian\Desktop\PRODUCCION\00. ACCIÓN PROXIMA\00. MU\10. Fondecyt Iniciación\_Textos\Araujo-2017.pdf;;;🔴;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"K4JRN3VL,""conferencePaper"",""2017"",""Araújo, Carlos V.S."; Neto, Rayol M.; Nakamura, Fabiola G.;" Nakamura, Eduardo F."",""Using Complex Networks to Assess Collaboration in Rap Music: A Study Case of DJ Khaled"",""Proceedings of the 23rd Brazillian Symposium on Multimedia and the Web"",""978-1-4503-5096-9"","""",""10.1145/3126858.3131605"",""https://doi.org/10.1145/3126858.3131605"",""DJ Khaled is a popular musician that is known for having many collaborators in his songs. Hence, in this paper, we model the evolution of DJ Khaled's collaboration network as nine different networks that incrementally consider the albums of his discography. The network of each album includes the collaborations from previous ones and adds the collaborations from the new album. The artists are represented as nodes and the edges are the number of songs they appear together. Our focus is to answer whether or not: (i) we can identify meaningful communities in this network";" and (2) there is an artist who has greater influence as networks emerges. By using the network average clustering coefficient, we found that the artists in the the network tend to naturally cluster in a logical manner. As a result, we identified nine communities, six of them are meaningful, and we identified the rapper Rick Ross as the most influential artist of the network."",""2017-10-17"",""2025-03-24 19:09:12"",""2025-03-24 19:09:13"",""2025-03-24"",""425–428"","""","""","""","""","""",""Using Complex Networks to Assess Collaboration in Rap Music"",""WebMedia '17"","""","""","""",""Association for Computing Machinery"",""New York, NY, USA"","""","""","""","""","""",""ACM Digital Library"","""","""","""",""C:\Users\sebastian\Desktop\PRODUCCION\00. ACCIÓN PROXIMA\00. MU\10. Fondecyt Iniciación\_Textos\Araujo-2017.pdf"","""","""",""🔴"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;
95XIHY6B;journalArticle;2007;"Park, Juyong; Celma, Oscar; Koppenberger, Markus; Cano, Pedro; Buldú, Javier M.";The social network of contemporary popular musicians;International Journal of Bifurcation and Chaos;;0218-1274;10.1142/S0218127407018385;https://www.worldscientific.com/doi/abs/10.1142/S0218127407018385;In this paper, we analyze two social network datasets of contemporary musicians constructed from allmusic.com (AMG), a music and artists' information database: one is the collaboration network in which two musicians are connected if they have performed or produced an album together, and the other is the similarity network in which they are connected if they were musically similar according to the music experts. We find that, while both networks exhibit typical features of social networks such as high transitivity (clustering), we find that they differ significantly in some key network features such as the degree and the betweenness distributions. We believe that this highlights the fundamental differences in the construction mechanism (self-organized collaboration and human-perceived similarity) of the new networks.;2007-07;24/03/2025 19:13;24/03/2025 19:13;24/03/2025 19:13;2281-2288;;7;17;;Int. J. Bifurcation Chaos;;;;;;;;;;;;;worldscientific.com (Atypon);;Publisher: World Scientific Publishing Co.;;C:\Users\sebastian\Desktop\PRODUCCION\00. ACCIÓN PROXIMA\00. MU\10. Fondecyt Iniciación\_Textos\Park-2007.pdf;;;"🔴; self-organized collaboration network; similarity network; Social networks";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"95XIHY6B,""journalArticle"",""2007"",""Park, Juyong"; Celma, Oscar; Koppenberger, Markus; Cano, Pedro;" Buldú, Javier M."",""The social network of contemporary popular musicians"",""International Journal of Bifurcation and Chaos"","""",""0218-1274"",""10.1142/S0218127407018385"",""https://www.worldscientific.com/doi/abs/10.1142/S0218127407018385"",""In this paper, we analyze two social network datasets of contemporary musicians constructed from allmusic.com (AMG), a music and artists' information database: one is the collaboration network in which two musicians are connected if they have performed or produced an album together, and the other is the similarity network in which they are connected if they were musically similar according to the music experts. We find that, while both networks exhibit typical features of social networks such as high transitivity (clustering), we find that they differ significantly in some key network features such as the degree and the betweenness distributions. We believe that this highlights the fundamental differences in the construction mechanism (self-organized collaboration and human-perceived similarity) of the new networks."",""2007-07"",""2025-03-24 19:13:19"",""2025-03-24 19:13:20"",""2025-03-24 19:13:19"",""2281-2288"","""",""07"",""17"","""",""Int. J. Bifurcation Chaos"","""","""","""","""","""","""","""","""","""","""","""","""",""worldscientific.com (Atypon)"","""",""Publisher: World Scientific Publishing Co."","""",""C:\Users\sebastian\Desktop\PRODUCCION\00. ACCIÓN PROXIMA\00. MU\10. Fondecyt Iniciación\_Textos\Park-2007.pdf"","""","""",""🔴"; self-organized collaboration network; similarity network;" Social networks"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;
